PNODE_ID,PNODE_TYPE,DESCRIPTION,COMMENTS,EFF_START_DT,EFF_END_DT,EFF_START_DT_GMT,EFF_END_DT_GMT,CB_NODE_FLAG,MAX_CB_MW,MAX_CB_MW_EFF_START_DT,MAX_CB_MW_EFF_END_DT,MAX_CB_MW_EFF_START_DT_GMT,MAX_CB_MW_EFF_END_DT_GMT
GLENDAL_LNODE65,,GLENDAL_LNODE65,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
MISSION_LNODE-1,,MISSION_LNODE-1,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
BICENTEN_LNODE-1,,BICENTEN_LNODE-1,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
BICENTEN_LNODE-2,,BICENTEN_LNODE-2,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
DOWNS_LNODE85,,DOWNS_LNODE85,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
PEBBLE_LNODE-3,,PEBBLE_LNODE-3,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
PUMPPLT3_LNODE-1,,PUMPPLT3_LNODE-1,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
FAIRVIW_LNODE11,,FAIRVIW_LNODE11,,2015-07-23T00:00:00,2030-12-31T23:59:59,2015-07-23T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
MRGNHIL_1_N001,,MRGNHIL_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,18.782,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
MSHR60V_6_N001,,MSHR60V_6_N001,,2014-11-13T00:00:00,2030-12-31T23:59:59,2014-11-13T08:00:00-00:00,2031-01-01T07:59:59-00:00,Y,,,,,
MTEDEN_1_N005,,MTEDEN_1_N005,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,37.352,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
RNCHSECO_2_N109,,RNCHSECO_2_N109,,2018-11-29T00:00:00,2030-12-31T23:59:59,2018-11-29T08:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
NEWARK_2_B2,,NEWARK_2_B2,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
RVRBANK_1_N001,,RVRBANK_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,19.403,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
SEMITRPC_1_N001,,SEMITRPC_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,9.368,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
SANLUSRY_6_N014,,SANLUSRY_6_N014,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,19.68,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
PANRAMA_1_N001,,PANRAMA_1_N001,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,9.252,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
PADUA_6_N007,,PADUA_6_N007,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,1.92,2011-11-01T00:00:00,2012-01-31T23:59:59,2011-11-01T07:00:00-00:00,2012-02-01T07:59:59-00:00
STDOIL_1_N009,,STDOIL_1_N009,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,Y,130,2011-01-26T00:00:00,2012-01-31T23:59:59,2011-01-26T08:00:00-00:00,2012-02-01T07:59:59-00:00
PALERMO_1_B1,,PALERMO_1_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
PSE-BEAR_7_B1,,PSE-BEAR_7_B1,,2009-03-31T00:00:00,2030-12-31T23:59:59,2009-03-31T07:00:00-00:00,2031-01-01T07:59:59-00:00,N,,,,,
